dominio;interno;servicios;anioModelo;cantAsientos;empresaNro;cuit;razonSocial;vigenciaHastaInspeccionTecnica;tecnicaNro;tipoTecnica;categoriaAprob;CarroceriaMarca;CarroceriaModelo;expOrig;expModif;disposicion;tacografoMarca;tacografoNro;linea;chasisNro;chasisMarca;chasisModelo;accesibilidad;jurisdiccion;aireAcondicionado;vigenciaHasta
AD882PA;9344;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";26/12/2026;250068;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001397;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
AD947XC;9342;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";28/09/2026;95231;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001437;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
AD947XD;9339;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";19/12/2026;249971;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001440;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
AD947XE;9341;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";08/10/2026;99131;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001438;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
AD947XG;9343;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";25/12/2026;250047;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001436;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
AD947XK;9340;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";22/12/2026;249992;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001439;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
AD947XY;9334;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";08/01/2027;301021;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001445;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
AD947XZ;9336;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";25/12/2026;250051;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001443;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
AD947YA;9335;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";09/12/2026;243112;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001444;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
AD947YB;9337;"SERVICIO COMÚN";2019;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";10/01/2027;301043;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001442;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2029-12-31
